Bgn reboot,34.25,34.24,34.29
Bgn Shutting down system,39.39,39.10,39.16
End dbus-1 stop,39.48,39.19,39.26
End vsftpd stop,39.55,39.26,39.33
End telnetd stop,39.64,39.35,39.42
End vbus stop,39.74,39.70,39.74
End networking stop,39.83,39.78,39.84
End usbether stop,40.34,40.30,40.33
Bgn killall mainapp,40.47,40.45,40.50
End killall mainapp,41.23,40.71,40.73
Bgn umount -a,41.42,40.88,40.91
