new-calib: New touch screen calibration program v3.13
Serial Number='150A1E00010B06020304'
Using tnt_mode=1
Setting for delay_in_us:        1
Setting for y_delay_in_us:      1
Setting for tnt_delay_in_us:    1
Setting for max_delta_tnt:      5
Setting for tnt_mode:           1
Setting for averaging:         -1
Entering get_four_points
target_noise  x= 2.50 y= 2.50 t= 2.50
target state=0 point=23,22
 X= 755 X2=1023  Y= 918 Y2=1021 P1=1023 P2=  -1 T1=1022 T2= 872  P= 584  D=   1 
 X= 763 X2=1023  Y= 945 Y2=1022 P1=1023 P2=  -1 T1=1022 T2= 865  P= 584  D=   1 
 X= 923 X2=1023  Y= 948 Y2=1022 P1=1023 P2=  -1 T1=1023 T2= 851  P= 584  D=   1 
 X=1010 X2=1013  Y= 916 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 876  P= 584  D=   1 
 X= 980 X2=1014  Y= 947 Y2=1022 P1=1023 P2=  -1 T1=1022 T2= 866  P= 584  D=   1 
 X=1009 X2=1013  Y= 953 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 871  P= 584  D=   1 
 X= 831 X2=1023  Y= 956 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 840  P= 584  D=   1 
 X= 857 X2=1023  Y= 957 Y2=1022 P1=1022 P2=  -1 T1=1023 T2= 864  P= 584  D=   1 
 X= 849 X2=1023  Y= 952 Y2=1022 P1=1023 P2=  -1 T1=1022 T2= 862  P= 584  D=   1 
 X= 768 X2=1023  Y= 959 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 865  P= 584  D=   1 
 X= 774 X2=1023  Y= 952 Y2=1022 P1=1023 P2=  -1 T1=1022 T2= 856  P= 584  D=   1 
 X= 935 X2=1023  Y= 964 Y2=1021 P1=1023 P2=  -1 T1=1022 T2= 863  P= 584  D=   1 
 X= 799 X2=1023  Y= 950 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 890  P= 584  D=   1 
 X= 852 X2=1023  Y= 946 Y2=1022 P1=1023 P2=  -1 T1=1023 T2= 864  P= 584  D=   1 
 X=1023 X2=1012  Y= 951 Y2=1023 P1=1023 P2=  -1 T1=1023 T2= 880  P= 584  D=   1 
 X=1013 X2=1013  Y= 948 Y2=1022 P1=1023 P2=  -1 T1=1023 T2= 876  P= 584  D=   1 
 X= 891 X2=1022  Y= 918 Y2=1021 P1=1023 P2=  -1 T1=1022 T2= 869  P= 584  D=   1 
 X= 902 X2=1023  Y= 946 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 815  P= 584  D=   1 
 X= 920 X2=1023  Y= 944 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 875  P= 584  D=   1 
 X= 867 X2=1023  Y= 948 Y2=1022 P1=1023 P2=  -1 T1=1022 T2= 863  P= 584  D=   1 
 X= 870 X2=1004  Y= 952 Y2=1022 P1=1023 P2=  -1 T1=1023 T2= 867  P= 584  D=   1 
 X= 912 X2=1000  Y= 943 Y2=1023 P1=1023 P2=  -1 T1=1023 T2= 875  P= 584  D=   1 
 X= 907 X2=1007  Y= 939 Y2=1022 P1=1023 P2=  -1 T1=1023 T2= 856  P= 584  D=   1 
 X= 873 X2= 994  Y= 955 Y2=1023 P1=1023 P2=  -1 T1=1023 T2= 843  P= 584  D=   1 
 X= 900 X2=1013  Y= 961 Y2=1022 P1=1023 P2=  -1 T1=1023 T2= 879  P= 584  D=   1 
 X= 841 X2=1023  Y= 963 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 876  P= 584  D=   1 
 X= 799 X2=1023  Y= 950 Y2=1021 P1=1023 P2=  -1 T1=1022 T2= 871  P= 584  D=   1 
 X= 948 X2=1014  Y= 938 Y2=1022 P1=1023 P2=  -1 T1=1023 T2= 852  P= 584  D=   1 
 X= 874 X2=1014  Y= 952 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 874  P= 584  D=   1 
 X= 866 X2=1017  Y= 941 Y2=1023 P1=1022 P2=  -1 T1=1023 T2= 844  P= 584  D=   1 
 X= 970 X2=1012  Y= 935 Y2=1022 P1=1023 P2=  -1 T1=1023 T2= 869  P= 584  D=   1 
 X= 957 X2= 996  Y= 947 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 853  P= 584  D=   1 
 X= 849 X2=1023  Y= 966 Y2=1022 P1=1023 P2=  -1 T1=1023 T2= 862  P= 584  D=   1 
 X= 810 X2=1022  Y= 954 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 856  P= 584  D=   1 
 X= 957 X2=1023  Y= 960 Y2=1022 P1=1023 P2=  -1 T1=1022 T2= 870  P= 584  D=   1 
 X= 920 X2= 995  Y= 959 Y2=1022 P1=1022 P2=  -1 T1=1023 T2= 861  P= 584  D=   1 
 X= 847 X2=1023  Y= 941 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 847  P= 584  D=   1 
 X= 863 X2=1023  Y= 959 Y2=1022 P1=1023 P2=  -1 T1=1023 T2= 820  P= 584  D=   1 
 X= 927 X2=1023  Y= 954 Y2=1021 P1=1023 P2=  -1 T1=1022 T2= 838  P= 584  D=   1 
