new-calib: New touch screen calibration program v3.13
Serial Number='150A1E00010B06020304'
Using tnt_mode=1
Setting for delay_in_us:        1
Setting for y_delay_in_us:      1
Setting for tnt_delay_in_us:    1
Setting for max_delta_tnt:      5
Setting for tnt_mode:           1
Setting for averaging:         -1
Entering get_four_points
target_noise  x= 2.50 y= 2.50 t= 2.50
target state=0 point=23,22
 X= 859 X2= 989  Y= 960 Y2=  -1 P1=  -1 P2=  -1 T1=1022 T2= 837  P=  -1  D=  -1 
 X= 842 X2=1023  Y= 928 Y2=  -1 P1=  -1 P2=  -1 T1=1022 T2= 848  P=  -1  D=  -1 
 X= 891 X2=1015  Y= 944 Y2=1020 P1=  -1 P2=  -1 T1=1023 T2= 842  P=  -1  D=  -1 
 X= 915 X2=1023  Y= 934 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 845  P=  -1  D=  -1 
 X= 882 X2=1016  Y= 936 Y2=1022 P1=  -1 P2=  -1 T1=1022 T2= 833  P=  -1  D=  -1 
 X= 985 X2=1008  Y= 899 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 842  P=  -1  D=  -1 
 X= 949 X2= 986  Y= 941 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 864  P=  -1  D=  -1 
 X= 797 X2=1023  Y= 952 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 842  P=  -1  D=  -1 
 X= 871 X2=1023  Y= 957 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 887  P=  -1  D=  -1 
 X= 848 X2=1017  Y= 955 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 854  P=  -1  D=  -1 
 X= 781 X2=1023  Y= 945 Y2=1021 P1=  -1 P2=  -1 T1=1023 T2= 843  P=  -1  D=  -1 
 X= 849 X2=1023  Y= 918 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 919  P=  -1  D=  -1 
 X= 955 X2=1007  Y= 935 Y2=1023 P1=  -1 P2=  -1 T1=1023 T2= 840  P=  -1  D=  -1 
 X= 847 X2=1016  Y= 946 Y2=1022 P1=  -1 P2=  -1 T1=1021 T2= 858  P=  -1  D=  -1 
 X= 908 X2= 992  Y= 954 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 849  P=  -1  D=  -1 
 X= 953 X2=1009  Y= 946 Y2=1023 P1=  -1 P2=  -1 T1=1023 T2= 858  P=  -1  D=  -1 
 X= 839 X2=1023  Y= 938 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 828  P=  -1  D=  -1 
 X= 850 X2=1023  Y= 943 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 850  P=  -1  D=  -1 
 X= 908 X2=1021  Y= 957 Y2=1022 P1=  -1 P2=  -1 T1=1022 T2= 858  P=  -1  D=  -1 
 X= 867 X2=1015  Y= 952 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 842  P=  -1  D=  -1 
 X= 773 X2=1023  Y= 948 Y2=1021 P1=  -1 P2=  -1 T1=1022 T2= 874  P=  -1  D=  -1 
 X= 997 X2= 986  Y= 947 Y2=1022 P1=  -1 P2=  -1 T1=1022 T2= 841  P=  -1  D=  -1 
 X= 792 X2=1023  Y= 948 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 848  P=  -1  D=  -1 
 X= 849 X2=1023  Y= 942 Y2=1020 P1=  -1 P2=  -1 T1=1023 T2= 851  P=  -1  D=  -1 
 X= 911 X2= 997  Y= 953 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 837  P=  -1  D=  -1 
 X= 793 X2=1023  Y= 967 Y2=1021 P1=  -1 P2=  -1 T1=1023 T2= 824  P=  -1  D=  -1 
 X= 819 X2=1023  Y= 939 Y2=1021 P1=  -1 P2=  -1 T1=1023 T2= 855  P=  -1  D=  -1 
 X= 864 X2=1023  Y= 943 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 844  P=  -1  D=  -1 
 X= 875 X2=1014  Y= 947 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 872  P=  -1  D=  -1 
 X= 990 X2= 999  Y= 958 Y2=1021 P1=  -1 P2=  -1 T1=1023 T2= 869  P=  -1  D=  -1 
 X= 934 X2= 995  Y= 954 Y2=1023 P1=  -1 P2=  -1 T1=1023 T2= 876  P=  -1  D=  -1 
 X= 956 X2=1011  Y= 947 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 862  P=  -1  D=  -1 
 X= 923 X2=1021  Y= 883 Y2=1022 P1=  -1 P2=  -1 T1=1022 T2= 861  P=  -1  D=  -1 
 X= 907 X2= 997  Y= 949 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 860  P=  -1  D=  -1 
 X= 993 X2= 980  Y= 933 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 839  P=  -1  D=  -1 
 X= 802 X2=1023  Y= 941 Y2=1022 P1=  -1 P2=  -1 T1=1022 T2= 849  P=  -1  D=  -1 
 X= 917 X2= 985  Y= 937 Y2=1021 P1=  -1 P2=  -1 T1=1023 T2= 863  P=  -1  D=  -1 
 X= 880 X2=1016  Y= 940 Y2=1021 P1=  -1 P2=  -1 T1=1023 T2= 792  P=  -1  D=  -1 
 X= 871 X2=1017  Y= 941 Y2=1022 P1=  -1 P2=  -1 T1=1022 T2= 861  P=  -1  D=  -1 
 X= 985 X2=1004  Y= 935 Y2=1021 P1=  -1 P2=  -1 T1=1023 T2= 871  P=  -1  D=  -1 
 X=1021 X2=1014  Y= 951 Y2=1021 P1=  -1 P2=  -1 T1=1021 T2= 853  P=  -1  D=  -1 
 X= 946 X2=1007  Y= 934 Y2=1021 P1=  -1 P2=  -1 T1=1023 T2= 853  P=  -1  D=  -1 
 X= 867 X2=1023  Y= 954 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 838  P=  -1  D=  -1 
 X=1005 X2= 988  Y= 946 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 839  P=  -1  D=  -1 
 X= 804 X2=1023  Y= 944 Y2=1020 P1=  -1 P2=  -1 T1=1023 T2= 847  P=  -1  D=  -1 
 X= 871 X2=1023  Y= 950 Y2=1021 P1=  -1 P2=  -1 T1=1023 T2= 861  P=  -1  D=  -1 
 X= 969 X2= 995  Y= 935 Y2=1021 P1=  -1 P2=  -1 T1=1023 T2= 856  P=  -1  D=  -1 
