new-calib: New touch screen calibration program v3.9
Serial Number='00001E00010B00000000'
Entering calib_delay
 X=1011 X2=1023  Y=1017 Y2=1023 P1= 884 P2= 270 T1=1023 T2=  26  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 517 Y2= 516 P1= 808 P2= 394 T1=  20 T2=  18  P= 552  D=   5 tn=0 wfr=0 sd=0
 X= 530 X2= 527  Y= 516 Y2= 516 P1= 809 P2= 394 T1=  19 T2=  20  P= 555  D=  10 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 517 P1= 809 P2= 393 T1=  18 T2=  20  P= 557  D=  15 tn=0 wfr=0 sd=0
 X= 528 X2= 527  Y= 517 Y2= 517 P1= 809 P2= 393 T1=  19 T2=  19  P= 557  D=  20 tn=0 wfr=0 sd=0
 X= 526 X2= 527  Y= 517 Y2= 517 P1= 809 P2= 394 T1=  18 T2=  19  P= 553  D=  30 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 516 P1= 808 P2= 395 T1=  19 T2=  18  P= 550  D=  40 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 516 Y2= 516 P1= 808 P2= 395 T1=  19 T2=  18  P= 549  D=  60 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 517 P1= 807 P2= 395 T1=  17 T2=  18  P= 549  D=  80 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 516 Y2= 516 P1= 808 P2= 396 T1=  20 T2=  19  P= 547  D=   5 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  17 T2=  19  P= 543  D=  10 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 516 P1= 807 P2= 396 T1=  18 T2=  17  P= 546  D=  15 tn=0 wfr=0 sd=0
 X= 526 X2= 527  Y= 517 Y2= 516 P1= 806 P2= 397 T1=  18 T2=  18  P= 541  D=  20 tn=0 wfr=0 sd=0
 X= 527 X2= 525  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  20 T2=  19  P= 542  D=  30 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 515 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  18  P= 542  D=  40 tn=0 wfr=0 sd=0
 X= 526 X2= 528  Y= 516 Y2= 516 P1= 807 P2= 396 T1=  18 T2=  19  P= 546  D=  60 tn=0 wfr=0 sd=0
 X= 526 X2= 527  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  19 T2=  18  P= 542  D=  80 tn=0 wfr=0 sd=0
 X= 526 X2= 526  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  19 T2=  19  P= 542  D=   5 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  18  P= 543  D=  10 tn=0 wfr=0 sd=0
 X= 528 X2= 527  Y= 515 Y2= 516 P1= 807 P2= 397 T1=  19 T2=  18  P= 543  D=  15 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  18  P= 543  D=  20 tn=0 wfr=0 sd=0
 X= 526 X2= 526  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  19  P= 542  D=  30 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  19 T2=  19  P= 542  D=  40 tn=0 wfr=0 sd=0
 X= 527 X2= 524  Y= 512 Y2= 517 P1= 807 P2= 397 T1=  18 T2=  18  P= 541  D=  60 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 517 Y2= 516 P1= 807 P2= 396 T1=  19 T2=  20  P= 546  D=  80 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 517 Y2= 516 P1= 807 P2= 396 T1=  19 T2=  18  P= 546  D=   5 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 518 Y2= 515 P1= 807 P2= 396 T1=  19 T2=  17  P= 545  D=  10 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 517 Y2= 516 P1= 807 P2= 397 T1=  19 T2=  18  P= 542  D=  15 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  19 T2=  18  P= 542  D=  20 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 517 Y2= 516 P1= 807 P2= 396 T1=  18 T2=  19  P= 546  D=  30 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  18 T2=  19  P= 542  D=  40 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 521 Y2= 517 P1= 807 P2= 397 T1=  19 T2=  19  P= 543  D=  60 tn=0 wfr=0 sd=0
 X= 525 X2= 527  Y= 514 Y2= 517 P1= 806 P2= 396 T1=  18 T2=  19  P= 544  D=  80 tn=0 wfr=0 sd=0
 X= 526 X2= 527  Y= 516 Y2= 516 P1= 807 P2= 396 T1=  18 T2=  19  P= 545  D=   5 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 516 P1= 806 P2= 397 T1=  19 T2=  18  P= 542  D=  10 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 515 Y2= 515 P1= 807 P2= 396 T1=  18 T2=  18  P= 545  D=  15 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 515 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  18  P= 542  D=  20 tn=0 wfr=0 sd=0
 X= 526 X2= 527  Y= 515 Y2= 517 P1= 807 P2= 396 T1=  18 T2=  18  P= 545  D=  30 tn=0 wfr=0 sd=0
 X= 525 X2= 527  Y= 516 Y2= 516 P1= 806 P2= 397 T1=  18 T2=  18  P= 541  D=  40 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 517 Y2= 515 P1= 806 P2= 396 T1=  19 T2=  19  P= 544  D=  60 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 514 Y2= 517 P1= 807 P2= 397 T1=  19 T2=  19  P= 542  D=  80 tn=0 wfr=0 sd=0
 X= 526 X2= 527  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  19  P= 542  D=   5 tn=0 wfr=0 sd=0
 X= 525 X2= 527  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  19 T2=  19  P= 542  D=  10 tn=0 wfr=0 sd=0
 X= 528 X2= 526  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  18 T2=  18  P= 543  D=  15 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  18 T2=  19  P= 543  D=  20 tn=0 wfr=0 sd=0
 X= 524 X2= 527  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  17 T2=  19  P= 541  D=  30 tn=0 wfr=0 sd=0
 X= 526 X2= 527  Y= 517 Y2= 516 P1= 806 P2= 396 T1=  16 T2=  19  P= 544  D=  40 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 516 P1= 806 P2= 397 T1=  19 T2=  18  P= 542  D=  60 tn=0 wfr=0 sd=0
 X= 526 X2= 526  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  19  P= 542  D=  80 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 517 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  18  P= 542  D=   5 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 518 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  18  P= 543  D=  10 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  18  P= 543  D=  15 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 520 Y2= 517 P1= 807 P2= 397 T1=  18 T2=  18  P= 542  D=  20 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 517 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  19  P= 542  D=  30 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 516 Y2= 516 P1= 806 P2= 397 T1=  18 T2=  19  P= 541  D=  40 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 515 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  19  P= 542  D=  60 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  21 T2=  18  P= 542  D=  80 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 516 Y2= 515 P1= 807 P2= 396 T1=  18 T2=  18  P= 545  D=   5 tn=0 wfr=0 sd=0
 X= 528 X2= 526  Y= 515 Y2= 516 P1= 807 P2= 397 T1=  19 T2=  18  P= 543  D=  10 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  19 T2=  19  P= 542  D=  15 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  18 T2=  19  P= 543  D=  20 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 516 Y2= 517 P1= 806 P2= 397 T1=  19 T2=  18  P= 541  D=  30 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 517 Y2= 517 P1= 806 P2= 396 T1=  17 T2=  19  P= 544  D=  40 tn=0 wfr=0 sd=0
 X= 529 X2= 527  Y= 516 Y2= 516 P1= 806 P2= 397 T1=  19 T2=  19  P= 543  D=  60 tn=0 wfr=0 sd=0
 X= 526 X2= 526  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  18  P= 542  D=  80 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 516 P1= 809 P2= 397 T1=  19 T2=  18  P= 546  D=   5 tn=0 wfr=0 sd=0
 X= 526 X2= 526  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  18  P= 542  D=  10 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  19 T2=  18  P= 542  D=  15 tn=0 wfr=0 sd=0
 X= 526 X2= 526  Y= 516 Y2= 516 P1= 805 P2= 396 T1=  19 T2=  18  P= 542  D=  20 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 516 Y2= 516 P1= 806 P2= 397 T1=  18 T2=  14  P= 541  D=  30 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 517 Y2= 517 P1= 807 P2= 396 T1=  21 T2=  19  P= 546  D=  40 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  20 T2=  19  P= 543  D=  60 tn=0 wfr=0 sd=0
 X= 526 X2= 526  Y= 517 Y2= 516 P1= 803 P2= 397 T1=  18 T2=  18  P= 537  D=  80 tn=0 wfr=0 sd=0
 X= 526 X2= 527  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  18  P= 542  D=   5 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 517 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  19  P= 542  D=  10 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 517 Y2= 517 P1= 807 P2= 397 T1=  18 T2=  18  P= 542  D=  15 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 516 P1= 806 P2= 397 T1=  19 T2=  18  P= 542  D=  20 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 517 P1= 807 P2= 396 T1=  19 T2=  19  P= 546  D=  30 tn=0 wfr=0 sd=0
 X= 526 X2= 526  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  19 T2=  19  P= 542  D=  40 tn=0 wfr=0 sd=0
 X= 526 X2= 526  Y= 515 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  19  P= 542  D=  60 tn=0 wfr=0 sd=0
 X= 526 X2= 526  Y= 517 Y2= 517 P1= 806 P2= 397 T1=  16 T2=  18  P= 541  D=  80 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 517 P1= 806 P2= 397 T1=  18 T2=  18  P= 542  D=   5 tn=0 wfr=0 sd=0
 X= 526 X2= 527  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  19 T2=  19  P= 542  D=  10 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 516 P1= 807 P2= 395 T1=  18 T2=  18  P= 549  D=  15 tn=0 wfr=0 sd=0
