new-calib: New touch screen calibration program v3.7
Serial Number='13101E00010B06010068'
Entering calib_delay
 X= 640 X2= 647  Y= 641 Y2= 640 P1= 994 P2=  63 T1= 187 T2= 168  P=9501  D=  80 tn=0 wfr=0 sd=0
 X= 542 X2= 541  Y= 539 Y2= 539 P1= 901 P2= 268 T1=  37 T2=  38  P=1277  D=  10 tn=0 wfr=0 sd=0
 X= 541 X2= 541  Y= 540 Y2= 540 P1= 901 P2= 268 T1=  38 T2=  38  P=1277  D=  15 tn=0 wfr=0 sd=0
 X= 541 X2= 542  Y= 540 Y2= 539 P1= 900 P2= 267 T1=  38 T2=  38  P=1282  D=  20 tn=0 wfr=0 sd=0
 X= 541 X2= 542  Y= 540 Y2= 540 P1= 900 P2= 268 T1=  38 T2=  38  P=1275  D=  30 tn=0 wfr=0 sd=0
 X= 542 X2= 544  Y= 540 Y2= 540 P1= 900 P2= 269 T1=  38 T2=  37  P=1273  D=  40 tn=0 wfr=0 sd=0
 X= 542 X2= 541  Y= 540 Y2= 540 P1= 900 P2= 269 T1=  38 T2=  37  P=1268  D=  60 tn=0 wfr=0 sd=0
 X= 541 X2= 541  Y= 540 Y2= 540 P1= 893 P2= 286 T1=  38 T2=  33  P=1148  D=  80 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 536 P1= 892 P2= 286 T1=  33 T2=  33  P=1137  D=   5 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 536 P1= 892 P2= 286 T1=  33 T2=  32  P=1137  D=  10 tn=0 wfr=0 sd=0
 X= 538 X2= 537  Y= 537 Y2= 536 P1= 891 P2= 286 T1=  33 T2=  33  P=1135  D=  15 tn=0 wfr=0 sd=0
 X= 538 X2= 537  Y= 536 Y2= 536 P1= 892 P2= 286 T1=  32 T2=  33  P=1137  D=  20 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 536 P1= 892 P2= 286 T1=  33 T2=  33  P=1137  D=  30 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 536 Y2= 535 P1= 892 P2= 287 T1=  33 T2=  32  P=1129  D=  40 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 536 P1= 891 P2= 288 T1=  32 T2=  33  P=1123  D=  60 tn=0 wfr=0 sd=0
 X= 537 X2= 535  Y= 536 Y2= 535 P1= 892 P2= 289 T1=  33 T2=  32  P=1118  D=  80 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 536 P1= 891 P2= 288 T1=  33 T2=  32  P=1123  D=   5 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 536 P1= 891 P2= 288 T1=  32 T2=  34  P=1123  D=  10 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 535 Y2= 536 P1= 891 P2= 288 T1=  33 T2=  32  P=1121  D=  15 tn=0 wfr=0 sd=0
 X= 538 X2= 536  Y= 536 Y2= 535 P1= 891 P2= 287 T1=  33 T2=  33  P=1129  D=  20 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 536 Y2= 536 P1= 892 P2= 288 T1=  33 T2=  33  P=1123  D=  30 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 535 P1= 893 P2= 287 T1=  33 T2=  32  P=1133  D=  40 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 536 P1= 891 P2= 287 T1=  33 T2=  32  P=1129  D=  60 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 535 Y2= 536 P1= 892 P2= 288 T1=  33 T2=  33  P=1123  D=  80 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 536 P1= 891 P2= 288 T1=  32 T2=  33  P=1123  D=   5 tn=0 wfr=0 sd=0
