10.2,16.7
8.1,15.6
9.7,18.4
10.8,18.2
9.7,16.9
9.7,16.8
9.5,16.6
20.2,24.1
9.6,16.4
10.9,17.5
10.0,17.2
9.8,16.7
9.4,15.9
9.6,16.1
10.7,17.4
8.4,13.9
9.5,16.1
10.9,16.3
10.2,15.7
8.5,14.8
19.3,23.3
9.5,16.1
19.4,24.1
9.6,15.3
9.4,15.4
20.2,24.1
9.0,14.5
9.3,15.6
9.7,15.3
10.6,17.5
9.0,14.5
9.5,15.7
10.0,16.0
8.3,14.6
19.4,23.7
9.6,15.7
9.1,15.4
11.0,17.0
9.6,15.5
9.5,15.9
8.1,14.1
9.6,15.6
9.3,15.4
8.8,15.0
8.5,14.9
20.5,24.6
9.8,15.4
9.5,15.8
9.9,15.8
8.8,15.2
9.3,15.5
20.8,25.0
10.8,16.7
10.2,16.3
10.2,16.2
19.7,24.2
9.9,15.6
9.6,15.4
9.9,15.3
19.3,23.9
9.9,15.5
9.2,14.3
9.6,15.8
8.1,13.9
10.1,16.7
9.6,15.0
9.4,15.5
9.5,16.0
10.2,16.0
19.6,24.6
9.8,15.7
9.5,16.0
10.1,16.5
9.5,14.9
9.5,16.1
20.2,24.2
19.7,23.2
10.1,16.4
9.5,15.3
20.0,25.6
9.8,15.8
10.6,16.0
9.5,16.1
9.4,15.3
9.5,16.0
8.5,14.3
19.6,25.0
9.4,15.3
10.9,16.8
20.4,25.4
9.5,16.4
9.0,14.5
19.5,23.7
10.4,16.1
10.6,16.3
9.6,15.6
9.6,15.3
9.3,15.4
9.7,15.1
9.8,15.4
9.2,15.6
10.9,16.5
658.5,662.9
