new-calib.log: fgrep -v X2= to remove cruft
Entering calib_delay
 X= 522 X2= 521  Y= 516 Y2= 517 P1= 809 P2= 309 T1=  15 T2=  16  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 517 X2= 521  Y= 516 Y2= 517 P1= 806 P2= 311 T1=  15 T2=  16  P= 842  D=  60 tn=0 wfr=0 sd=0
 X= 520 X2= 520  Y= 517 Y2= 516 P1= 803 P2= 317 T1=  15 T2=  15  P= 825  D=  80 tn=0 wfr=0 sd=0
 X= 520 X2= 521  Y= 516 Y2= 516 P1= 801 P2= 321 T1=  15 T2=  15  P= 797  D=   5 tn=0 wfr=0 sd=0
 X= 520 X2= 520  Y= 515 Y2= 516 P1= 798 P2= 324 T1=  14 T2=  15  P= 777  D=  10 tn=0 wfr=0 sd=0
 X= 521 X2= 520  Y= 517 Y2= 516 P1= 798 P2= 327 T1=  14 T2=  14  P= 760  D=  15 tn=0 wfr=0 sd=0
 X= 520 X2= 522  Y= 518 Y2= 516 P1= 796 P2= 329 T1=  14 T2=  15  P= 748  D=  20 tn=0 wfr=0 sd=0
 X= 520 X2= 520  Y= 515 Y2= 515 P1= 795 P2= 330 T1=  15 T2=  14  P= 739  D=  30 tn=0 wfr=0 sd=0
 X= 520 X2= 519  Y= 516 Y2= 516 P1= 795 P2= 329 T1=  12 T2=  14  P= 732  D=  40 tn=0 wfr=0 sd=0
 X= 520 X2= 520  Y= 514 Y2= 531 P1= 794 P2= 332 T1=  13 T2=  14  P= 734  D=  60 tn=0 wfr=0 sd=0
 X= 520 X2= 520  Y= 514 Y2= 517 P1= 794 P2= 332 T1=   9 T2=  15  P= 723  D=  80 tn=0 wfr=0 sd=0
 X= 519 X2= 520  Y= 514 Y2= 515 P1= 793 P2= 332 T1=  14 T2=  16  P= 723  D=   5 tn=0 wfr=0 sd=0
 X= 520 X2= 520  Y= 515 Y2= 511 P1= 793 P2= 333 T1=  13 T2=  14  P= 720  D=  10 tn=0 wfr=0 sd=0
 X= 520 X2= 519  Y= 515 Y2= 527 P1= 792 P2= 333 T1=  14 T2=  14  P= 718  D=  15 tn=0 wfr=0 sd=0
 X= 520 X2= 520  Y= 514 Y2= 515 P1= 792 P2= 336 T1=  14 T2=  14  P= 715  D=  20 tn=0 wfr=0 sd=0
 X= 520 X2= 519  Y= 516 Y2= 505 P1= 792 P2= 334 T1=  14 T2=  14  P= 705  D=  30 tn=0 wfr=0 sd=0
 X= 520 X2= 519  Y= 516 Y2= 514 P1= 791 P2= 336 T1=  14 T2=  14  P= 711  D=  40 tn=0 wfr=0 sd=0
 X= 519 X2= 519  Y= 514 Y2= 515 P1= 792 P2= 334 T1=  13 T2=  14  P= 702  D=  60 tn=0 wfr=0 sd=0
 X= 520 X2= 520  Y= 516 Y2= 515 P1= 792 P2= 335 T1=  14 T2=  14  P= 711  D=  80 tn=0 wfr=0 sd=0
 X= 520 X2= 520  Y= 516 Y2= 515 P1= 792 P2= 336 T1=  13 T2=  16  P= 709  D=   5 tn=0 wfr=0 sd=0
 X= 521 X2= 520  Y= 514 Y2= 515 P1= 792 P2= 336 T1=  13 T2=  14  P= 705  D=  10 tn=0 wfr=0 sd=0
 X= 520 X2= 520  Y= 515 Y2= 515 P1= 791 P2= 335 T1=  14 T2=   9  P= 705  D=  15 tn=0 wfr=0 sd=0
 X= 519 X2= 520  Y= 496 Y2= 515 P1= 791 P2= 336 T1=  13 T2=  14  P= 707  D=  20 tn=0 wfr=0 sd=0
 X= 520 X2= 519  Y= 516 Y2= 515 P1= 791 P2= 335 T1=  14 T2=  14  P= 702  D=  30 tn=0 wfr=0 sd=0
 X= 519 X2= 520  Y= 514 Y2= 517 P1= 790 P2= 339 T1=  16 T2=  13  P= 706  D=  40 tn=0 wfr=0 sd=0
 X= 519 X2= 521  Y= 514 Y2= 513 P1= 791 P2= 352 T1=  12 T2=  13  P= 690  D=  60 tn=0 wfr=0 sd=0
 X= 520 X2= 519  Y= 515 Y2= 522 P1= 791 P2= 335 T1=  12 T2=  12  P= 648  D=  80 tn=0 wfr=0 sd=0
 X= 520 X2= 520  Y= 516 Y2= 515 P1= 790 P2= 337 T1=  12 T2=  13  P= 706  D=   5 tn=0 wfr=0 sd=0
