new-calib.log: fgrep -v X2= to remove cruft
Entering calib_delay
 X= 525 X2= 521  Y= 511 Y2= 523 P1= 795 P2= 337 T1=  12 T2=  13  P= 700  D=  10 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 525 Y2= 523 P1= 794 P2= 339 T1=  14 T2=  13  P= 710  D=  15 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 524 Y2= 523 P1= 795 P2= 339 T1=  14 T2=  13  P= 699  D=  20 tn=0 wfr=0 sd=0
 X= 521 X2= 522  Y= 524 Y2= 523 P1= 794 P2= 341 T1=  13 T2=  13  P= 700  D=  30 tn=0 wfr=0 sd=0
 X= 521 X2= 522  Y= 522 Y2= 523 P1= 795 P2= 339 T1=  12 T2=  13  P= 691  D=  40 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 523 Y2= 523 P1= 795 P2= 339 T1=  12 T2=  13  P= 700  D=  60 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 525 Y2= 523 P1= 795 P2= 339 T1=  13 T2=  14  P= 700  D=  80 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 524 Y2= 524 P1= 794 P2= 339 T1=  13 T2=  13  P= 700  D=   5 tn=0 wfr=0 sd=0
 X= 522 X2= 522  Y= 524 Y2= 527 P1= 794 P2= 341 T1=  13 T2=  13  P= 699  D=  10 tn=0 wfr=0 sd=0
 X= 521 X2= 522  Y= 524 Y2= 524 P1= 795 P2= 340 T1=  13 T2=  13  P= 693  D=  15 tn=0 wfr=0 sd=0
 X= 525 X2= 522  Y= 523 Y2= 523 P1= 794 P2= 340 T1=  13 T2=  13  P= 697  D=  20 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 521 Y2= 523 P1= 794 P2= 341 T1=  13 T2=  13  P= 698  D=  30 tn=0 wfr=0 sd=0
 X= 520 X2= 521  Y= 524 Y2= 525 P1= 794 P2= 340 T1=  13 T2=  13  P= 691  D=  40 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 525 Y2= 524 P1= 794 P2= 342 T1=  13 T2=  13  P= 694  D=  60 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 523 Y2= 523 P1= 794 P2= 339 T1=  13 T2=  13  P= 688  D=  80 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 524 Y2= 520 P1= 794 P2= 341 T1=  12 T2=  13  P= 699  D=   5 tn=0 wfr=0 sd=0
 X= 521 X2= 522  Y= 524 Y2= 523 P1= 795 P2= 341 T1=  16 T2=  13  P= 691  D=  10 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 523 Y2= 525 P1= 794 P2= 341 T1=  12 T2=  13  P= 693  D=  15 tn=0 wfr=0 sd=0
 X= 520 X2= 521  Y= 524 Y2= 523 P1= 793 P2= 341 T1=  10 T2=  13  P= 691  D=  20 tn=0 wfr=0 sd=0
 X= 521 X2= 520  Y= 522 Y2= 525 P1= 794 P2= 341 T1=  13 T2=  13  P= 689  D=  30 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 524 Y2= 523 P1= 795 P2= 342 T1=  13 T2=  12  P= 690  D=  40 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 525 Y2= 524 P1= 794 P2= 340 T1=  13 T2=  13  P= 689  D=  60 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 524 Y2= 519 P1= 797 P2= 341 T1=  13 T2=  13  P= 695  D=  80 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 527 Y2= 524 P1= 794 P2= 342 T1=  13 T2=  13  P= 696  D=   5 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 529 Y2= 523 P1= 793 P2= 342 T1=  12 T2=  14  P= 688  D=  10 tn=0 wfr=0 sd=0
 X= 524 X2= 521  Y= 524 Y2= 523 P1= 794 P2= 340 T1=  11 T2=  13  P= 686  D=  15 tn=0 wfr=0 sd=0
 X= 520 X2= 521  Y= 525 Y2= 523 P1= 794 P2= 341 T1=  13 T2=  13  P= 696  D=  20 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 545 Y2= 523 P1= 789 P2= 340 T1=  12 T2=  13  P= 690  D=  30 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 522 Y2= 525 P1= 794 P2= 340 T1=  13 T2=  14  P= 687  D=  40 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 521 Y2= 523 P1= 793 P2= 341 T1=  13 T2=  13  P= 695  D=  60 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 525 Y2= 523 P1= 794 P2= 340 T1=  13 T2=  13  P= 690  D=  80 tn=0 wfr=0 sd=0
 X= 521 X2= 526  Y= 523 Y2= 522 P1= 794 P2= 341 T1=  13 T2=  13  P= 695  D=   5 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 524 Y2= 523 P1= 794 P2= 340 T1=  13 T2=  13  P= 694  D=  10 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 523 Y2= 523 P1= 794 P2= 342 T1=  13 T2=  13  P= 695  D=  15 tn=0 wfr=0 sd=0
 X= 521 X2= 522  Y= 522 Y2= 523 P1= 793 P2= 341 T1=  12 T2=  13  P= 688  D=  20 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 522 Y2= 523 P1= 793 P2= 342 T1=  13 T2=  14  P= 690  D=  30 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 524 Y2= 524 P1= 793 P2= 340 T1=  11 T2=  13  P= 686  D=  40 tn=0 wfr=0 sd=0
 X= 523 X2= 522  Y= 525 Y2= 524 P1= 793 P2= 342 T1=  13 T2=  13  P= 693  D=  60 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 522 Y2= 523 P1= 794 P2= 342 T1=  13 T2=  13  P= 687  D=  80 tn=0 wfr=0 sd=0
 X= 520 X2= 521  Y= 514 Y2= 523 P1= 793 P2= 342 T1=  13 T2=  13  P= 688  D=   5 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 522 Y2= 523 P1= 794 P2= 341 T1=  13 T2=  10  P= 685  D=  10 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 530 Y2= 523 P1= 793 P2= 341 T1=  15 T2=  16  P= 691  D=  15 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 529 Y2= 523 P1= 793 P2= 340 T1=  14 T2=  13  P= 690  D=  20 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 522 Y2= 523 P1= 793 P2= 342 T1=  12 T2=  13  P= 693  D=  30 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 524 Y2= 523 P1= 793 P2= 342 T1=  12 T2=  13  P= 686  D=  40 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 525 Y2= 523 P1= 793 P2= 341 T1=  13 T2=  14  P= 686  D=  60 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 524 Y2= 523 P1= 793 P2= 344 T1=  11 T2=  13  P= 690  D=  80 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 523 Y2= 523 P1= 794 P2= 341 T1=  12 T2=  14  P= 679  D=   5 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 523 Y2= 538 P1= 793 P2= 342 T1=  13 T2=  13  P= 691  D=  10 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 524 Y2= 523 P1= 793 P2= 343 T1=  13 T2=  13  P= 686  D=  15 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 523 Y2= 525 P1= 793 P2= 343 T1=  13 T2=  15  P= 683  D=  20 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 525 Y2= 523 P1= 793 P2= 341 T1=  13 T2=  13  P= 683  D=  30 tn=0 wfr=0 sd=0
 X= 521 X2= 522  Y= 518 Y2= 523 P1= 793 P2= 343 T1=  13 T2=  13  P= 690  D=  40 tn=0 wfr=0 sd=0
 X= 521 X2= 522  Y= 524 Y2= 523 P1= 792 P2= 342 T1=  14 T2=  13  P= 683  D=  60 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 527 Y2= 523 P1= 793 P2= 343 T1=  12 T2=  13  P= 685  D=  80 tn=0 wfr=0 sd=0
 X= 520 X2= 521  Y= 523 Y2= 523 P1= 793 P2= 343 T1=  12 T2=  13  P= 683  D=   5 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 523 Y2= 523 P1= 792 P2= 341 T1=  13 T2=  13  P= 681  D=  10 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 522 Y2= 523 P1= 792 P2= 341 T1=  12 T2=  13  P= 688  D=  15 tn=0 wfr=0 sd=0
 X= 521 X2= 520  Y= 523 Y2= 524 P1= 796 P2= 343 T1=  13 T2=  14  P= 688  D=  20 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 524 Y2= 523 P1= 792 P2= 343 T1=  13 T2=  12  P= 686  D=  30 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 524 Y2= 536 P1= 795 P2= 342 T1=  16 T2=  13  P= 681  D=  40 tn=0 wfr=0 sd=0
 X= 521 X2= 520  Y= 524 Y2= 523 P1= 793 P2= 344 T1=  13 T2=  13  P= 689  D=  60 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 522 Y2= 521 P1= 793 P2= 341 T1=  11 T2=  10  P= 678  D=  80 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 524 Y2= 523 P1= 793 P2= 342 T1=  13 T2=  13  P= 690  D=   5 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 523 Y2= 523 P1= 793 P2= 343 T1=  13 T2=  13  P= 686  D=  10 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 524 Y2= 523 P1= 793 P2= 341 T1=  12 T2=  12  P= 683  D=  15 tn=0 wfr=0 sd=0
 X= 521 X2= 522  Y= 523 Y2= 522 P1= 793 P2= 343 T1=  12 T2=  13  P= 690  D=  20 tn=0 wfr=0 sd=0
 X= 519 X2= 521  Y= 523 Y2= 525 P1= 792 P2= 341 T1=  13 T2=  13  P= 683  D=  30 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 526 Y2= 523 P1= 792 P2= 344 T1=  13 T2=  13  P= 687  D=  40 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 522 Y2= 523 P1= 793 P2= 344 T1=  13 T2=  13  P= 678  D=  60 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 525 Y2= 523 P1= 793 P2= 343 T1=  12 T2=  12  P= 679  D=  80 tn=0 wfr=0 sd=0
 X= 522 X2= 521  Y= 524 Y2= 524 P1= 793 P2= 343 T1=  13 T2=  13  P= 683  D=   5 tn=0 wfr=0 sd=0
 X= 525 X2= 522  Y= 525 Y2= 523 P1= 793 P2= 343 T1=  12 T2=  15  P= 683  D=  10 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 523 Y2= 525 P1= 793 P2= 344 T1=  13 T2=  14  P= 685  D=  15 tn=0 wfr=0 sd=0
 X= 521 X2= 521  Y= 523 Y2= 523 P1= 793 P2= 341 T1=  12 T2=  12  P= 679  D=  20 tn=0 wfr=0 sd=0
 X= 521 X2= 519  Y= 524 Y2= 524 P1= 793 P2= 341 T1=  13 T2=  13  P= 690  D=  30 tn=0 wfr=0 sd=0
