new-calib: New touch screen calibration program v3.12
Serial Number='150A1E00010B0602030E'
Using tnt_mode=1
Setting for delay_in_us:        1
Setting for y_delay_in_us:      1
Setting for tnt_delay_in_us:    1
Setting for max_delta_tnt:      5
Setting for tnt_mode:           1
Setting for averaging:         -1
Entering get_four_points
target_noise  x= 2.50 y= 2.50 t= 2.50
target state=0 point=23,22
 X= 841 X2=1018  Y= 895 Y2=1015 P1=1023 P2=  -1 T1=1023 T2= 741  P= 522  D=   1 
 X= 929 X2=1000  Y= 902 Y2=1021 P1=1023 P2=  -1 T1=1021 T2= 760  P= 522  D=   1 
 X= 871 X2=1006  Y= 837 Y2=1021 P1=1023 P2=  -1 T1=1022 T2= 737  P= 522  D=   1 
 X= 744 X2=1023  Y= 902 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 761  P= 522  D=   1 
 X= 814 X2= 983  Y= 871 Y2=1020 P1=1023 P2=  -1 T1=1023 T2= 747  P= 522  D=   1 
 X= 806 X2=1023  Y= 921 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 755  P= 522  D=   1 
 X= 726 X2=1023  Y= 888 Y2=1019 P1=1023 P2=  -1 T1=1023 T2= 769  P= 522  D=   1 
 X= 827 X2= 996  Y= 888 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 746  P= 522  D=   1 
 X= 875 X2=1002  Y= 883 Y2=1020 P1=1023 P2=  -1 T1=1022 T2= 771  P= 522  D=   1 
 X= 832 X2=1013  Y= 902 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 791  P= 522  D=   1 
 X= 977 X2=1003  Y= 855 Y2=1020 P1=1023 P2=  -1 T1=1023 T2= 720  P= 522  D=   1 
 X= 906 X2= 983  Y= 880 Y2=1021 P1=1023 P2=  -1 T1=1022 T2= 734  P= 522  D=   1 
 X= 942 X2= 986  Y= 893 Y2=1022 P1=1023 P2=  -1 T1=1022 T2= 781  P= 522  D=   1 
 X= 817 X2=1022  Y= 897 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 751  P= 522  D=   1 
 X= 805 X2=1012  Y= 893 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 770  P= 522  D=   1 
 X= 726 X2=1023  Y= 890 Y2=1021 P1=1023 P2=  -1 T1=1022 T2= 747  P= 522  D=   1 
 X= 710 X2=1023  Y= 901 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 752  P= 522  D=   1 
 X= 888 X2=1002  Y= 876 Y2=1020 P1=1023 P2=  -1 T1=1023 T2= 774  P= 522  D=   1 
