13.4,24.9
12.1,21.4
12.8,27.1
13.2,24.6
11.1,21.4
13.3,23.1
14.6,24.5
12.8,21.6
12.9,22.2
14.4,23.7
12.6,22.9
12.4,21.3
13.0,23.3
13.4,22.1
13.2,21.8
13.6,22.9
13.0,21.2
13.3,21.5
13.0,22.7
13.2,21.5
13.2,20.9
12.4,20.1
13.0,21.6
14.3,23.0
25.7,30.8
14.4,24.4
21.8,27.7
13.1,21.9
13.7,22.4
10.7,23.3
11.1,18.5
12.6,20.5
12.4,20.2
11.0,18.7
12.9,23.0
13.7,21.1
12.6,20.4
11.6,19.8
14.0,21.8
12.9,20.6
24.1,28.5
8.9,18.0
13.6,21.8
12.6,20.9
22.6,27.3
22.2,27.8
13.2,21.0
14.5,23.2
9.9,17.6
14.6,23.1
10.7,19.8
13.2,21.0
10.9,18.6
13.3,21.9
14.5,21.8
12.5,21.0
13.8,22.1
10.0,18.2
14.0,23.3
13.9,21.6
13.8,22.0
23.3,28.2
14.8,23.7
13.8,22.4
13.9,22.2
10.1,20.2
11.1,18.8
11.9,20.7
13.9,22.8
13.6,22.0
24.3,29.2
15.4,25.7
12.9,23.1
16.2,28.4
24.7,31.3
14.9,23.7
14.1,24.7
22.9,27.8
14.4,23.1
12.3,20.5
11.6,20.0
14.0,23.1
14.0,22.2
13.4,22.6
10.3,19.5
14.2,22.9
13.7,24.4
14.2,23.1
14.2,23.1
8.1,18.3
13.1,20.0
10.3,19.6
11.4,19.3
13.8,22.2
14.3,23.0
15.2,22.5
13.8,21.6
12.9,22.1
13.7,22.0
7.1,16.3
13.4,22.2
11.4,19.2
1098.4,1104.6
